Zeit,Kessel,Kessel Soll,Kesseldruck,Abgas,Restsauerstoff,Abgasgebläse,Verbrauch seit Aschebox leeren,Inhalt Pelletsbehälter,Kollektor,Ladezustand,Angeforderte Leistung,Fühler 1 (oben),Fühler 2,Fühler 3,Fühler 4,Fühler 5,Vorlauf,Heizkurve,Vorrat,Außentemperatur,Externe Störmeldung
 17.03.2024 14:12:32,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,53°C,41%,xxx,68°C,68°C,63°C,59°C,39°C,30°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:13:22,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,53°C,41%,xxx,68°C,68°C,63°C,59°C,39°C,29°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:14:22,62°C,57°C,"1,77bar",42°C,---,0U/min,1323kg,45kg,53°C,41%,xxx,68°C,68°C,63°C,59°C,39°C,26°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:15:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,53°C,41%,xxx,68°C,68°C,63°C,59°C,39°C,28°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:16:22,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,53°C,41%,xxx,68°C,68°C,63°C,59°C,39°C,30°C,28°C,2203kg,"10,9°C",
 17.03.2024 14:17:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,52°C,41%,xxx,68°C,68°C,63°C,59°C,39°C,26°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:18:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,52°C,41%,xxx,68°C,68°C,63°C,58°C,39°C,27°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:19:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,52°C,40%,xxx,68°C,67°C,63°C,58°C,39°C,29°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:20:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,52°C,40%,xxx,68°C,67°C,63°C,58°C,39°C,29°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:21:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,51°C,40%,xxx,68°C,67°C,63°C,58°C,39°C,26°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:22:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,51°C,40%,xxx,68°C,67°C,63°C,58°C,39°C,28°C,28°C,2203kg,"11,0°C",
 17.03.2024 14:23:22,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,51°C,40%,xxx,68°C,67°C,63°C,58°C,39°C,29°C,28°C,2203kg,"11,1°C",
 17.03.2024 14:24:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,51°C,40%,xxx,68°C,67°C,63°C,58°C,39°C,29°C,28°C,2203kg,"11,1°C",
 17.03.2024 14:25:21,62°C,57°C,"1,76bar",42°C,---,0U/min,1323kg,45kg,50°C,39%,xxx,68°C,67°C,63°C,58°C,39°C,28°C,28°C,2203kg,"11,1°C",
 17.03.2024 14:26:21,62°C,57°C,"1,75bar",42°C,---,0U/min,1323kg,45kg,50°C,39%,xxx,68°C,67°C,62°C,58°C,39°C,28°C,28°C,2203kg,"11,0°C",
